Name,Calories,Total Fat,Saturated Fat,Trans Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Vitamin A,Vitamin C
abalone-(mixed-species),105,0.76g,0.149g,0,0.104g,0.107g,85mg,301mg,6.01g,0g,0g,17.1g,0,31mg,3.19mg,250mg,2mcg,2mg
abalone-(mixed-species),105,0.76g,0.149g,0,0.104g,0.107g,85mg,301mg,6.01g,0g,0g,17.1g,0,31mg,3.19mg,250mg,2mcg,2mg
abalone-(mixed-species-cooked-fried),189,6.78g,1.646g,0,1.676g,2.741g,94mg,591mg,11.05g,0g,0,19.63g,0,37mg,3.8mg,284mg,2mcg,1.8mg
acerola-(west-indian-cherry),32,0.3g,0.068g,0,0.09g,0.082g,0mg,7mg,7.69g,1.1g,0,0.4g,0,12mg,0.2mg,146mg,38mcg,1677.6mg
acerola-juice,23,0.31g,0.069g,0,0.092g,0.084g,0mg,3mg,4.9g,0.3g,4.6g,0.41g,0,10mg,0.51mg,99mg,26mcg,1633.9mg
abiyuch,69,0.1g,0.014g,0,0,0,0,20mg,17.6g,5.3g,8.55g,1.5g,0,8mg,1.61mg,304mg,5mcg,54.1mg
acorn-flour-(full-fat),501,30.17g,3.923g,0,5.813g,19.11g,0mg,0mg,54.65g,0,0,7.49g,0,43mg,1.21mg,712mg,3mcg,0mg
adobo-fresco,226,20.9g,2.91g,0,2.044g,14.963g,0mg,17152mg,18.6g,1.3g,2.03g,2g,0,123mg,3.2mg,187mg,11mcg,5.8mg
acorn-winter-squash,40,0.1g,0.021g,0,0.042g,0.007g,0mg,3mg,10.42g,1.5g,0,0.8g,0,33mg,0.7mg,347mg,18mcg,11mg
acorn-winter-squash-(without-salt-cooked-baked),56,0.14g,0.029g,0,0.059g,0.01g,0mg,4mg,14.58g,4.4g,0,1.12g,0,44mg,0.93mg,437mg,21mcg,10.8mg
acorn-winter-squash-(without-salt-mashed-cooked-boiled),34,0.08g,0.017g,0,0.035g,0.006g,0mg,3mg,8.79g,2.6g,0,0.67g,0,26mg,0.56mg,263mg,41mcg,6.5mg
acorn-winter-squash-(with-salt-cooked-baked),56,0.14g,0.029g,0,0.059g,0.01g,0mg,240mg,14.58g,4.4g,0,1.12g,0,44mg,0.93mg,437mg,21mcg,10.8mg
acorn-winter-squash-(with-salt-mashed-cooked-boiled),34,0.08g,0.017g,0,0.035g,0.006g,0mg,239mg,8.79g,2.6g,0,0.67g,0,26mg,0.56mg,263mg,13mcg,6.5mg
acorns-nuts,387,23.86g,3.102g,0,4.596g,15.109g,0mg,0mg,40.75g,0,0,6.15g,0,41mg,0.79mg,539mg,2mcg,0mg
adzuki-beans-(mature-seeds),329,0.53g,0.191g,0,0,0,0mg,5mg,62.9g,12.7g,0,19.87g,0,66mg,4.98mg,1254mg,1mcg,0mg
agar-seaweed,26,0.03g,0.006g,0,0.01g,0.003g,0mg,9mg,6.75g,0.5g,0.28g,0.54g,0,54mg,1.86mg,226mg,0mcg,0mg
adzuki-beans-(mature-seeds-without-salt-cooked-boiled),128,0.1g,0.036g,0,0,0,0mg,8mg,24.77g,7.3g,0,7.52g,0,28mg,2mg,532mg,0mcg,0mg
adzuki-beans-(mature-seeds-sweetened-canned),237,0.03g,0.011g,0,0,0,0mg,218mg,55.01g,0,0,3.8g,0,22mg,1.13mg,119mg,0mcg,0mg
adzuki-yokan-beans-(mature-seeds),260,0.12g,0.043g,0,0,0,0mg,83mg,60.72g,0,0,3.29g,0,27mg,1.16mg,45mg,0mcg,0mg
adzuki-beans-(mature-seeds-with-salt-cooked-boiled),128,0.1g,0.036g,0,0,0,0mg,244mg,24.77g,7.3g,0,7.52g,0,28mg,2mg,532mg,0mcg,0mg
after-eight-mints-nestle-candies,358,13.7g,8.18g,0,0.52g,4.41g,0mg,12mg,76.8g,2.1g,0,2.2g,0,23mg,1.53mg,168mg,1mcg,0mg
agar-seaweed-(dried),306,0.3g,0.061g,0,0.102g,0.027g,0mg,102mg,80.88g,7.7g,2.97g,6.21g,0,625mg,21.4mg,1125mg,0mcg,0mg
air-popped-popcorn,387,4.54g,0.637g,0,2.318g,0.95g,0mg,8mg,77.78g,14.5g,0.87g,12.94g,0,7mg,3.19mg,329mg,10mcg,0mg
alcoholic-beverage-(100-proof-gin-rum-vodka-whiskey),295,0g,0g,0,0g,0g,0mg,1mg,0g,0g,0,0g,0,0mg,0.04mg,2mg,0mcg,0mg
alaska-king-crab,84,0.6g,0.09g,0,0.13g,0.08g,42mg,836mg,0g,0g,0,18.29g,0,46mg,0.59mg,204mg,7mcg,7mg
alaska-king-crab-(cooked-moist-heat),97,1.54g,0.133g,0,0.536g,0.185g,53mg,1072mg,0g,0g,0,19.35g,0,59mg,0.76mg,262mg,9mcg,7.6mg
air-popped-white-popcorn,382,4.2g,0.57g,0,1.9g,1.1g,0mg,4mg,77.9g,15.1g,0,12g,0,10mg,2.66mg,301mg,1mcg,0mg
alfredo-mix-sauce,535,36.35g,13.18g,0,8.61g,13.669g,56mg,2590mg,36.52g,2g,5.4g,15.32g,0,467mg,0.94mg,254mg,54mcg,0mg
all-flavors-general-mills-berry-burst-cheerios-general-mills-cereals-ready-to-eat,405,5g,0g,0,4.75g,0g,0mg,600mg,80g,10g,33.33g,10g,5mcg,333mg,36mg,337mg,751mcg,70mg
alfalfa-seeds-(sprouted),29,0.69g,0.069g,0,0.409g,0.056g,0mg,6mg,3.78g,2.5g,0.18g,3.99g,0,32mg,0.96mg,79mg,8mcg,8.2mg
all-flavors-formulated-nuts-(without-salt-wheat-based),647,62.3g,9.37g,0,24.284g,25.722g,0mg,91mg,20.79g,5.2g,0,13.11g,0,22mg,2.6mg,320mg,0mcg,0.1mg
alcoholic-beverage-(80-proof-gin-rum-vodka-whiskey),231,0g,0g,0,0g,0g,0mg,1mg,0g,0g,0g,0g,0,0mg,0.04mg,2mg,0mcg,0mg
alcoholic-beverage-(94-proof-gin-rum-vodka-whiskey),275,0g,0g,0,0g,0g,0mg,1mg,0g,0g,0,0g,0,0mg,0.04mg,2mg,0mcg,0mg
alcoholic-beverage-(86-proof-gin-rum-vodka-whiskey),250,0g,0g,0,0g,0g,0mg,1mg,0.1g,0g,0g,0g,0,0mg,0.04mg,2mg,0mcg,0mg
alcoholic-beverage-(90-proof-gin-rum-vodka-whiskey),263,0g,0g,0,0g,0g,0mg,1mg,0g,0g,0g,0g,0,0mg,0.04mg,2mg,0mcg,0mg
allspice-ground,263,8.69g,2.55g,0,2.36g,0.66g,0mg,77mg,72.12g,21.6g,0,6.09g,0,661mg,7.06mg,1044mg,27mcg,39.2mg
all-natural-light-vanilla-breyers-ice-creams,162,4.59g,2.86g,0,0,0,15mg,71mg,25.3g,0.2g,22.78g,4.84g,0,169mg,0.06mg,0,0,1.1mg
all-natural-light-french-vanilla-breyers-ice-creams,173,5.56g,3.22g,0,0,0,53mg,73mg,26.03g,0.2g,21.11g,4.82g,0,155mg,0.21mg,0,0,0.9mg
all-natural-light-vanilla-chocolate-strawberry-breyers-ice-creams,161,4.35g,2.7g,0,0,0,14mg,69mg,26.06g,0.4g,22.47g,4.69g,0,158mg,0.31mg,0,0,1.7mg
all-natural-light-mint-chocolate-chip-breyers-ice-creams,196,7.09g,4.48g,0,0,0,15mg,67mg,28.39g,0.6g,25.38g,4.69g,0,160mg,0.52mg,0,0,1.4mg
all-natural-light-french-chocolate-breyers-ice-creams,201,7.28g,4.28g,0,0,0,41mg,75mg,29.68g,1g,24.04g,5.3g,0,158mg,0.85mg,0,0,1mg
almond-butter-nuts-(with-salt-added),633,59.1g,5.602g,0,12.402g,38.374g,0mg,450mg,21.22g,3.7g,4.9g,15.08g,0,270mg,3.7mg,758mg,0mcg,0.7mg
almond-butter-nuts-(without-salt-added),633,59.1g,5.602g,0,12.402g,38.374g,0mg,11mg,21.22g,3.7g,0,15.08g,0,270mg,3.7mg,758mg,0mcg,0.7mg
almond-vegetable-oil,884,100g,8.2g,0,17.4g,69.9g,0mg,0mg,0g,0g,0g,0g,0,0mg,0mg,0mg,0mcg,0mg
almonds,578,50.64g,3.881g,0,12.214g,32.155g,0mg,1mg,19.74g,11.8g,4.8g,21.26g,0,248mg,4.3mg,728mg,0mcg,0mg
almond-nut-paste,458,27.74g,2.629g,0,5.821g,18.012g,0mg,9mg,47.81g,4.8g,36.25g,9g,0,172mg,1.6mg,314mg,0mcg,0.1mg
almond-joy-candy-bar-candies,479,26.93g,17.59g,0,1.18g,5.26g,4mg,142mg,59.51g,5g,48.34g,4.13g,0,64mg,1.27mg,254mg,0,0.7mg
american-cheese-(cold-pack),331,24.46g,15.355g,0,0.719g,7.165g,64mg,966mg,8.32g,0g,0,19.66g,0,497mg,0.84mg,363mg,159mcg,0mg
amaranth-leaves,23,0.33g,0.091g,0,0.147g,0.076g,0mg,20mg,4.02g,0,0,2.46g,0,215mg,2.32mg,611mg,146mcg,43.3mg
amaranth-leaves-(without-salt-drained-cooked-boiled),21,0.18g,0.05g,0,0.08g,0.041g,0mg,21mg,4.11g,0,0,2.11g,0,209mg,2.26mg,641mg,139mcg,41.1mg
amaranth-leaves-(with-salt-drained-boiled-cooked),21,0.18g,0.05g,0,0.08g,0.041g,0mg,257mg,4.11g,0,0,2.11g,0,209mg,2.26mg,641mg,139mcg,41.1mg
amaranth,374,6.51g,1.662g,0,2.891g,1.433g,0mg,21mg,66.17g,9.3g,0,14.45g,0,153mg,7.59mg,366mg,0mcg,4.2mg
alpen-ready-to-eat-cereals,352,3.3g,0.496g,0,0.925g,1.327g,0mg,213mg,75.7g,9.1g,20g,11.2g,0,147mg,3mg,568mg,0mcg,8.7mg
american-cheese-(low-fat-pasteurized),180,7g,4.41g,0,0.222g,2.005g,35mg,1430mg,3.5g,0g,0.59g,24.6g,0,684mg,0.43mg,180mg,57mcg,0mg
amaranth-flakes,353,7g,1.232g,0,2.711g,2.147g,0mg,35mg,71.15g,9.5g,0.42g,15.54g,0,17mg,1.76mg,353mg,0mcg,2.5mg
american-cheese-(with-di-sodium-phosphate-pasteurized),375,31.25g,19.694g,0,0.99g,8.951g,94mg,1489mg,1.6g,0g,0.51g,22.15g,0,552mg,0.19mg,169mg,254mcg,0mg
american-cheese-(processedwithout-di-sodium-phosphate-pasteurized),330,25.18g,14.895g,0,1.108g,7.214g,80mg,1265mg,7.83g,0g,7.43g,18.4g,0,570mg,0.57mg,291mg,201mcg,0mg
american-cheese-spread-(without-di-sodium-phosphate-pasteurized),290,21.23g,13.327g,0,0.624g,6.219g,55mg,1345mg,8.73g,0g,7.32g,16.41g,0,562mg,0.33mg,242mg,173mcg,0mg
american-cheese-(without-di-sodium-phosphate-pasteurized),375,31.25g,19.694g,0,0.99g,8.951g,94mg,650mg,1.6g,0g,0.51g,22.15g,0,616mg,0.39mg,162mg,254mcg,0mg
american-cheese-(processedwith-di-sodium-phosphate-pasteurized),328,24.6g,15.443g,0,0.723g,7.206g,64mg,1596mg,7.29g,0g,7.43g,19.61g,0,574mg,0.84mg,279mg,198mcg,0mg
american-cheese-spread-(with-di-sodium-phosphate-pasteurized),290,21.23g,13.327g,0,0.624g,6.219g,55mg,1625mg,8.73g,0g,0,16.41g,0,562mg,0.33mg,242mg,179mcg,0mg
american-shad-(fish),197,13.77g,3.126g,0,3.268g,5.724g,75mg,51mg,0g,0g,0g,16.93g,0,47mg,0.97mg,384mg,33mcg,0mg
american-shad-(fish)-(cooked-dry-heat),252,17.65g,0,0,0,0,96mg,65mg,0g,0g,0,21.71g,0,60mg,1.24mg,492mg,36mcg,0mg
anchovy,131,4.84g,1.282g,0,1.637g,1.182g,60mg,104mg,0g,0g,0g,20.35g,0,147mg,3.25mg,383mg,15mcg,0mg
anchovy-(drained-solids-in-oil-canned),210,9.71g,2.203g,0,2.562g,3.77g,85mg,3668mg,0g,0g,0g,28.89g,0,232mg,4.63mg,544mg,12mcg,0mg
and-e-c-with-vitamins-a-farley-fruit-snacks-farley-candy-snacks,341,0g,0,0,0,0,0,36mg,80.9g,0,0,4.4g,0,0,0,0,0,90.3mg
and-e-c-with-vitamins-a-strawberry-sunkist-fruit-roll-sunkist-snacks,342,1g,0,0,0,0,0,111mg,82.7g,7.7g,0,0.6g,0,0,0,0,0,81.6mg
anise-seed,337,15.9g,0.586g,0,3.15g,9.78g,0mg,16mg,50.02g,14.6g,0,17.6g,0,646mg,36.96mg,1441mg,16mcg,21mg
and-raisins-honey-quaker-100%25-natural-cereal-with-oats-quaker-cereals-ready-to-eat,465,17.9g,6.971g,0,2.3g,6.79g,2mg,51mg,65.74g,8.3g,22.5g,10.32g,0mcg,110mg,2.5mg,504mg,1mcg,2.7mg
antelope-meat,114,2.03g,0.74g,0,0.44g,0.48g,95mg,51mg,0g,0g,0,22.38g,0,3mg,3.19mg,353mg,0mcg,0mg
angelfood-cake,258,0.8g,0.121g,0,0.367g,0.071g,0mg,749mg,57.8g,1.5g,0,5.9g,0,140mg,0.52mg,93mg,0mcg,0mg
angelfood-cake-(dry-mix),373,0.4g,0.063g,0,0.18g,0.038g,0mg,737mg,85.1g,0.3g,44.2g,8.9g,0,121mg,0.32mg,197mg,0mcg,0mg
angelfood-cake-(prepared-dry-mix),257,0.3g,0.043g,0,0.124g,0.026g,0mg,509mg,58.7g,0.2g,30.51g,6.1g,0,84mg,0.23mg,135mg,0mcg,0mg
animal-crackers-(includes-arrowroot-cookies-and-tea-biscuits),446,13.8g,3.463g,0,1.873g,7.666g,0mg,393mg,74.1g,1.1g,13.93g,6.9g,0,43mg,2.75mg,100mg,0mcg,0mg
animal-crackers-cookies,446,13.43g,5.272g,0,1.558g,5.649g,16mg,408mg,75.33g,0,0,6.18g,0,17mg,2.2mg,84mg,10mcg,1.2mg
apple-and-peach-juice-babyfood,44,0.11g,0.019g,0,0.033g,0.002g,0mg,1mg,11.08g,0.1g,10.12g,0.21g,0,3mg,0.59mg,102mg,3mcg,61.7mg
apple-and-plum-juice-babyfood,52,0g,0g,0,0g,0g,0mg,1mg,12.98g,0.1g,12.17g,0.11g,0,5mg,0.65mg,107mg,2mcg,61.4mg
apple-and-grape-juice-babyfood,49,0.21g,0.042g,0,0.062g,0.009g,0mg,3mg,11.96g,0.1g,11.5g,0.11g,0,6mg,0.41mg,95mg,0mcg,143.4mg
apple-and-cherry-juice-babyfood,43,0.21g,0.037g,0,0.063g,0.012g,0mg,3mg,10.44g,0.1g,9.47g,0.11g,0,5mg,0.7mg,103mg,0mcg,61.5mg
antelope-meat-(cooked-roasted),150,2.67g,0.97g,0,0.58g,0.63g,126mg,54mg,0g,0g,0,29.45g,0,4mg,4.2mg,372mg,0,0mg
apple---cherry-juice-babyfood,50,0.11g,0.021g,0,0.032g,0g,0mg,4mg,11.82g,0.3g,11.08g,0.21g,0,7mg,0.37mg,116mg,1mcg,33.9mg
apple-and-prune-juice-babyfood,77,0.11g,0.019g,0,0.033g,0.006g,0mg,5mg,18.99g,0.1g,11.16g,0.21g,0,9mg,1mg,156mg,1mcg,71.2mg
apple-cider-flavored-drink-(powder-added-vitamin-c-and-sugar),395,0g,0g,0,0g,0g,0mg,95mg,98.8g,0.1g,80.95g,0g,0,465mg,0.06mg,7mg,0mcg,363mg
apple-cinnamon-cheerios-general-mills-cereals-ready-to-eat,392,5.1g,0.99g,0,1.28g,2.375g,0mg,401mg,84g,4.3g,42g,6g,3mcg,333mg,15mg,192mg,501mcg,20mg
apple-cinnamon-kelloggs-pop-tarts-kellogg-toaster-pastries,395,10.2g,1.69g,0,2.6g,5.87g,0mg,334mg,72.02g,1.1g,33.7g,4.4g,0,23mg,3.5mg,91mg,0,0mg
apple-cinnamon-danish-kelloggs-pop-tarts-pastry-swirls,413,17.7g,4.8g,0,7.1g,5.8g,0mg,306mg,59.7g,1.4g,17.7g,4.8g,0,32mg,1.74mg,0,0,0mg
apple-cider-flavored-drink-(powder-low-calorie-with-vitamin-c),1,0g,0g,0,0g,0g,0mg,14mg,0.3g,0g,0g,0g,0,11mg,0.03mg,0mg,0mcg,25.4mg
apple-cinnamon-toasty-os-malt-o-meal-cereals-ready-to-eat,410,5.69g,0.93g,1.01g,1.42g,3.09g,1mg,540mg,82.5g,5g,41.2g,7.1g,4mcg,417mg,16.8mg,200mg,862mcg,25.4mg
apple-juice-(canned-or-bottled),49,0.12g,0.02g,0,0.035g,0.005g,0mg,3mg,12.24g,0.1g,11.43g,0.06g,0,7mg,0.39mg,125mg,0mcg,0.9mg
apple-juice-(frozen-concentrate),166,0.37g,0.06g,0,0.108g,0.015g,0mg,25mg,41g,0.4g,38.83g,0.51g,0,20mg,0.91mg,448mg,0mcg,2.1mg
apple-croissants,254,8.7g,4.994g,0,0.628g,2.393g,31mg,274mg,37.1g,2.5g,0,7.4g,0,30mg,1.1mg,90mg,94mcg,0.5mg
apple-filled-oatmeal-archway-home-style-cookies,394,12.76g,2.97g,0,0.95g,4.83g,8mg,413mg,65.63g,2.1g,31.95g,4.8g,0,29mg,3.06mg,183mg,0,0mg
apple-fruit-butters,173,0g,0g,0,0g,0g,0mg,15mg,42.77g,1.5g,35.3g,0.39g,0,14mg,0.31mg,91mg,1mcg,1mg
apple-dippers-mcdonalds,48,0g,0,0g,0,0,0,0mg,12.1g,0,9.2g,0g,0,62mg,0.1mg,0,2mcg,277mg
apple-dippers-with-low-fat-caramel-sauce-mcdonalds,111,0.77g,0.418g,0.009g,0.033g,0.182g,3mg,40mg,26.12g,0,17.22g,0.45g,0,64mg,0.11mg,0,12mcg,211.6mg
apple-juice-babyfood,50,0.11g,0.019g,0,0.033g,0.002g,0mg,3mg,12.54g,0.1g,11.47g,0g,0,4mg,0.61mg,98mg,1mcg,62.1mg
apple-multi-grain-cereal-malt-o-meal-cereals-ready-to-eat,395,2.66g,0.447g,0.21g,0.835g,1.26g,1mg,514mg,87.3g,2.8g,42.9g,5.4g,3mcg,429mg,17.1mg,140mg,838mcg,59.7mg
apple-juice-(frozen-concentrate-diluted-with-water),48,0.1g,0.018g,0,0.031g,0.002g,0mg,7mg,11.67g,0.1g,11.05g,0.14g,0,6mg,0.26mg,127mg,0mcg,0.6mg
apple-juice-(with-added-ascorbic-acid-canned-or-bottled),49,0.12g,0.02g,0,0.035g,0.005g,0mg,3mg,12.24g,0.1g,11.43g,0.06g,0,7mg,0.39mg,125mg,0mcg,43.6mg
apple-juice-(with-added-ascorbic-acid-frozen-concentrate),166,0.37g,0.06g,0,0.108g,0.015g,0mg,25mg,41g,0,38.83g,0.51g,0,20mg,0.91mg,448mg,0mcg,88.9mg
apple-juice-(frozen-concentrate-diluted-with-water-with-added-ascorbic-acid),48,0.1g,0.018g,0,0.031g,0.002g,0mg,7mg,11.67g,0.1g,0,0.14g,0,6mg,0.26mg,127mg,0mcg,25.3mg
apple-pie,265,12.5g,3.05g,0,3.338g,5.393g,0mg,211mg,37.1g,0,0,2.4g,0,7mg,1.12mg,79mg,11mcg,1.7mg
apple-pie-(commercial-enriched-flour),237,11g,3.797g,0,2.198g,4.388g,0mg,266mg,34g,1.6g,15.65g,1.9g,0,11mg,0.45mg,65mg,32mcg,3.2mg
apple-banana-juice-babyfood,54,0.11g,0.019g,0,0.036g,0.004g,0mg,4mg,12.98g,0.2g,11.6g,0.21g,0,7mg,0.21mg,130mg,0mcg,29.4mg
apple-strudel,274,11.2g,2.044g,0,5.315g,3.267g,6mg,269mg,41.1g,2.2g,25.75g,3.3g,0,15mg,0.42mg,149mg,6mcg,1.7mg
apple-pie-(unenriched-flour),237,11g,3.797g,0,2.198g,4.388g,0mg,266mg,34g,1.6g,0,1.9g,0,11mg,1.21mg,65mg,29mcg,3.2mg
apple-pie-fillings-(canned),101,0.1g,0.02g,0,0.03g,0g,0mg,44mg,26.2g,1g,13.8g,0.1g,0,4mg,0.29mg,45mg,0mcg,0.1mg
apple-cranberry-juice-babyfood,46,0.02g,0.007g,0,0.012g,0.001g,0mg,5mg,11.49g,0g,6.88g,0g,0,6mg,0.22mg,97mg,1mcg,27.9mg
apples,52,0.17g,0.028g,0,0.051g,0.007g,0mg,1mg,13.81g,2.4g,10.39g,0.26g,0,6mg,0.12mg,107mg,3mcg,4.6mg
apples-(drained-sliced-sweetened-canned),67,0.49g,0.08g,0,0.144g,0.02g,0mg,3mg,16.7g,1.7g,15g,0.18g,0,4mg,0.23mg,68mg,3mcg,0.4mg
apples-(low-moisture-uncooked),346,0.58g,0.095g,0,0.171g,0.024g,0mg,124mg,93.53g,12.4g,81.13g,1.32g,0,19mg,2mg,640mg,4mcg,2.2mg
apples-(low-moisture-stewed),74,0.12g,0.02g,0,0.036g,0.005g,0mg,26mg,19.91g,2.6g,0,0.28g,0,4mg,0.43mg,136mg,1mcg,0.6mg
apples-(with-added-sugar-sulfured-stewed),83,0.07g,0.011g,0,0.02g,0.003g,0mg,19mg,20.73g,1.9g,0,0.2g,0,3mg,0.31mg,98mg,1mcg,0.9mg
apples-(unsweetened-frozen),48,0.32g,0.053g,0,0.095g,0.013g,0mg,3mg,12.31g,1.9g,0,0.28g,0,4mg,0.18mg,77mg,2mcg,0.1mg
apples-(unsweetened-frozen-heated),47,0.33g,0.053g,0,0.095g,0.013g,0mg,3mg,12g,1.9g,0,0.29g,0,5mg,0.19mg,76mg,1mcg,0.4mg
apples-(without-skin),48,0.13g,0.021g,0,0.037g,0.005g,0mg,0mg,12.76g,1.3g,10.1g,0.27g,0,5mg,0.07mg,90mg,2mcg,4mg
apples-without-skin-(cooked-boiled),53,0.36g,0.058g,0,0.104g,0.014g,0mg,1mg,13.64g,2.4g,11.01g,0.26g,0,5mg,0.19mg,88mg,2mcg,0.2mg
apples-without-skin-(cooked-microwave),56,0.42g,0.068g,0,0.122g,0.017g,0mg,1mg,14.41g,2.8g,11.61g,0.28g,0,5mg,0.17mg,93mg,2mcg,0.3mg
apples-(without-added-sugar-sulfured-stewed),57,0.07g,0.012g,0,0.022g,0.003g,0mg,20mg,15.32g,2g,13.32g,0.22g,0,3mg,0.33mg,105mg,1mcg,1mg
applesauce-(with-added-ascorbic-acid-unsweetened-canned),43,0.05g,0.008g,0,0.014g,0.002g,0mg,2mg,11.29g,1.2g,0,0.17g,0,3mg,0.12mg,75mg,1mcg,21.2mg
applesauce-(with-salt-sweetened-canned),76,0.18g,0.03g,0,0.054g,0.007g,0mg,28mg,19.91g,1.2g,0,0.18g,0,4mg,0.35mg,61mg,1mcg,1.7mg
applesauce-(without-added-ascorbic-acid-unsweetened-canned),43,0.05g,0.008g,0,0.014g,0.002g,0mg,2mg,11.29g,1.2g,10.09g,0.17g,0,3mg,0.12mg,75mg,1mcg,1.2mg
applesauce-(without-salt-sweetened-canned),76,0.18g,0.03g,0,0.054g,0.007g,0mg,3mg,19.91g,1.2g,16.5g,0.18g,0,4mg,0.35mg,61mg,1mcg,1.7mg
apricot-kernel-vegetable-oil,884,100g,6.3g,0,29.3g,60g,0mg,0mg,0g,0g,0g,0g,0,0mg,0mg,0mg,0mcg,0mg
apricot-filled-archway-home-style-cookies,401,13.9g,5.45g,0,0.84g,4.35g,27mg,321mg,64.79g,1.4g,32.4g,5.06g,0,21mg,2.05mg,126mg,0,0mg
apricot-jams-and-preserves,242,0.2g,0.01g,0,0g,0.11g,0mg,40mg,64.4g,0.3g,36.79g,0.7g,0,20mg,0.49mg,77mg,14mcg,8.8mg
apple-sweet-potato-juice-babyfood,50,0.1g,0.031g,0,0.052g,0.01g,0mg,5mg,11.87g,0.5g,10g,0.31g,0,16mg,0.31mg,143mg,160mcg,35.5mg
apricots,48,0.39g,0.027g,0,0.077g,0.17g,0mg,1mg,11.12g,2g,9.24g,1.4g,0,13mg,0.39mg,259mg,96mcg,10mg
apricots-(solids-and-liquids-with-skin-extra-light-syrup-pack-canned),49,0.1g,0.007g,0,0.02g,0.043g,0mg,2mg,12.5g,1.6g,0,0.6g,0,10mg,0.3mg,140mg,64mcg,4mg
apricots-(solids-and-liquids-with-skin-heavy-syrup-pack-canned),83,0.08g,0.005g,0,0.015g,0.033g,0mg,4mg,21.47g,1.6g,19.87g,0.53g,0,9mg,0.3mg,140mg,62mcg,3.1mg
apricots-(low-moisture-uncooked),320,0.62g,0.043g,0,0.121g,0.268g,0mg,13mg,82.89g,0,0,4.9g,0,61mg,6.31mg,1850mg,633mcg,9.5mg
apricots-(low-moisture-stewed),126,0.24g,0.017g,0,0.047g,0.105g,0mg,5mg,32.62g,0,0,1.93g,0,24mg,2.48mg,728mg,220mcg,7.1mg
apricot-nectar-(without-added-ascorbic-acid-canned),59,0.1g,0.006g,0,0.018g,0.04g,0mg,3mg,15.28g,0.6g,14.64g,0.39g,0,7mg,0.4mg,121mg,70mcg,0.6mg
apricots-(drained-heavy-syrup-canned),83,0.11g,0.007g,0,0.021g,0.045g,0mg,4mg,21.31g,2.7g,18.65g,0.64g,0,10mg,0.3mg,143mg,146mcg,3.1mg
apricot-nectar-(with-added-ascorbic-acid-canned),59,0.1g,0.006g,0,0.018g,0.04g,0mg,3mg,15.28g,0.6g,0,0.39g,0,7mg,0.4mg,121mg,70mcg,57.8mg
apricots-(solids-and-liquids-with-skin-water-pack-canned),27,0.16g,0.011g,0,0.031g,0.069g,0mg,3mg,6.39g,1.6g,4.79g,0.71g,0,8mg,0.32mg,192mg,98mcg,3.4mg
apricots-(solids-and-liquids-without-skin-water-pack-canned),22,0.03g,0.002g,0,0.006g,0.013g,0mg,11mg,5.48g,1.1g,0,0.69g,0,8mg,0.54mg,154mg,91mcg,1.8mg
apricots-(solids-and-liquids-with-skin-juice-pack-canned),48,0.04g,0.003g,0,0.007g,0.017g,0mg,4mg,12.34g,1.6g,10.74g,0.63g,0,12mg,0.3mg,165mg,85mcg,4.9mg
apricots-(solids-and-liquids-with-skin-light-syrup-pack-canned),63,0.05g,0.003g,0,0.01g,0.021g,0mg,4mg,16.49g,1.6g,14.89g,0.53g,0,11mg,0.39mg,138mg,66mcg,2.7mg
apricots-(solids-and-liquids-without-skin-heavy-syrup-pack-canned),83,0.09g,0.006g,0,0.017g,0.037g,0mg,11mg,21.45g,1.6g,0,0.51g,0,9mg,0.43mg,134mg,62mcg,2.8mg
apricots-(solids-and-liquids-without-skin-extra-heavy-syrup-pack-canned),96,0.04g,0.003g,0,0.008g,0.017g,0mg,13mg,24.85g,1.6g,0,0.55g,0,8mg,0.62mg,126mg,74mcg,2.4mg
apricots-(sweetened-frozen),98,0.1g,0.007g,0,0.02g,0.044g,0mg,4mg,25.1g,2.2g,0,0.7g,0,10mg,0.9mg,229mg,84mcg,9mg
aquafina-pepsi-non-carbonated-bottled-water,0,0g,0,0,0,0,0,0mg,0g,0,0,0g,0,0mg,0mg,0mg,0,0
arrowhead,99,0.29g,0,0,0,0,0mg,22mg,20.23g,0,0,5.33g,0,10mg,2.57mg,922mg,0mcg,1.1mg
arrowhead-(without-salt-drained-cooked-boiled),78,0.1g,0,0,0,0,0mg,18mg,16.14g,0,0,4.49g,0,7mg,1.21mg,881mg,0mcg,0.3mg
arrowhead-(with-salt-drained-cooked-boiled),78,0.1g,0,0,0,0,0mg,254mg,16.14g,0,0,4.49g,0,7mg,1.21mg,881mg,0mcg,0.3mg
archway-home-style-cookiesgourmet-chocolate-chip-n-toffee,468,21.89g,6.36g,0,1.63g,8.31g,21mg,442mg,64g,1.8g,32.44g,4.4g,0,14mg,2.19mg,74mg,0,0mg
arrowroot-cookies-babyfood,442,14.3g,3.33g,0,0.84g,8.98g,1mg,370mg,71.2g,0.2g,0,7.6g,0,32mg,3mg,156mg,0,5.5mg
artichokes-(globe-or-french),47,0.15g,0.036g,0,0.064g,0.005g,0mg,94mg,10.51g,5.4g,0,3.27g,0,44mg,1.28mg,370mg,9mcg,11.7mg
