Name,Calories,Total Fat,Saturated Fat,Trans Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Vitamin A,Vitamin C
pork-sausage-(bulk-links-patties-frozen),231,18.56g,4.968g,0,2.246g,8.061g,73mg,507mg,0g,0g,0,14.95g,0,9mg,0.99mg,231mg,12mcg,0mg
pork-sausage-(pre-cooked),378,35.04g,11.662g,0.332g,4.869g,15.17g,74mg,752mg,0g,0g,0g,14.49g,0,137mg,0.92mg,307mg,19mcg,0.7mg
pork-roasts-(top-loin-boneless-lean-only-cooked-roasted),194,7.21g,2.62g,0,0.48g,3.36g,78mg,45mg,0g,0g,0,30.24g,0,5mg,1.06mg,354mg,2mcg,0.4mg
pork-sausage-links-(cooked)-oscar-mayer,343,30.5g,10.69g,0,3.68g,14.8g,77mg,836mg,1g,0g,0.9g,16.3g,0,16mg,1.72mg,238mg,0,0mg
pork-sausage-rice-links-(cooked),407,37.63g,6.701g,0,2.368g,8.615g,66mg,689mg,2.36g,0g,0g,13.7g,0,15mg,1.12mg,212mg,0mcg,0mg
pork-scrapple,213,13.87g,4.732g,0,1.664g,6.156g,49mg,659mg,14.06g,0.3g,0.2g,8.06g,0,7mg,1.89mg,158mg,626mcg,2.5mg
pork-shoulder-(arm-picnic),253,20.19g,7g,0,2.16g,8.97g,71mg,68mg,0g,0g,0,16.69g,0,5mg,0.99mg,291mg,2mcg,0.7mg
pork-shoulder-(arm-picnic-cooked-braised),329,23.22g,8.49g,0,2.28g,10.38g,109mg,88mg,0g,0g,0g,27.99g,0,18mg,1.61mg,369mg,3mcg,0.3mg
pork-shoulder-(arm-picnic-cooked-roasted),317,24.01g,8.78g,0,2.35g,10.72g,94mg,70mg,0g,0g,0,23.47g,0,19mg,1.18mg,325mg,2mcg,0.2mg
pork-shoulder-(whole),236,17.99g,6.24g,0,1.92g,8.01g,71mg,65mg,0g,0g,0g,17.18g,0,15mg,1.05mg,302mg,2mcg,0.7mg
pork-shoulder-(arm-picnic-lean-only),140,6.16g,2.13g,0,0.66g,2.78g,65mg,82mg,0g,0g,0g,19.75g,0,6mg,1.19mg,341mg,2mcg,0.9mg
pork-shoulder-(arm-picnic-lean-only-cooked-braised),248,12.21g,4.16g,0,1.16g,5.78g,114mg,102mg,0g,0g,0g,32.26g,0,8mg,1.95mg,405mg,2mcg,0.4mg
pork-shoulder-(arm-picnic-lean-only-cooked-roasted),228,12.62g,4.3g,0,1.2g,5.98g,95mg,80mg,0g,0g,0,26.68g,0,9mg,1.42mg,351mg,2mcg,0.3mg
pork-shoulder-(arm-picnic-cured-roasted),280,21.35g,7.67g,0,2.32g,10.14g,58mg,1072mg,0g,0g,0g,20.43g,0,10mg,0.95mg,258mg,0mcg,0mg
